Name, EA,formula
NH3..Li anion,0.667000,H3LiN-
Vinyl radical,0.667000,C2H3
"Benzaldehyde, 3-fluoro-",0.668000,C7H5FO
"Benzaldehyde, 3-chloro-",0.668000,C7H5ClO
ammonium bromide,0.670000,BrH4N
"1,4-Diphenyl-1,3-butadiene",0.670000,C16H14
(NH3)16..Li anion,0.670000,H48LiN16-
(coronene)2 radical anion,0.670000,C48H24-
Cobalt monohydride,0.671000,CoH
MeNO2..MeNO2 radical anion,0.672000,C2H6N2O4-
m-Trifluoromethylbenzonitrile,0.672000,C8H4F3N
Cyanic acid,0.674000,CHNO
chromium,0.676000,Cr
1-Naphthalenecarbonitrile,0.676000,C11H7N
(benzene)2..Co3 anion,0.680000,C12H12Co3-
Cu(SC(CN)=C(CN)S)2 dianion,0.680000,C8CuN4S4-2
1-Naphthalenecarboxaldehyde,0.681000,C11H8O
"Pyridine, pentafluoro-",0.681000,C5F5N
